,name,description
10,舒适居家套头套装，条纹款,"这款条纹针织套装非常适合居家休闲，名副其实。我们采用超柔软面料和简约设计，无论是睡前穿着还是临时出门都非常舒适。

尺码与版型
- 裤子为经典版型：低腰设计。
- 宽松版型：我们最宽松的版型，离身体最远。

面料与护理
- 采用最柔软的混纺面料：63%聚酯纤维、35%人造丝和2%氨纶。

附加特性
- 宽松版型上衣，配有插肩袖和下摆圆弧设计。
- 套头裤配有宽弹力腰带和抽绳、侧边口袋以及现代修身裤腿。

进口。"
11,Ultra-Lofty 850 弹力连帽羽绒服,这款来自我们 DownTek 系列的技术型弹力羽绒服，采用全弹力结构，提供卓越的活动范围，确保您温暖舒适。微修身版型，衣长及臀，最适合搭配中等厚度内搭，适合轻度活动至20°和中度活动至-30°的环境。柔软耐用的100%聚酯纤维外壳提供全面的防风保护，内部填充保暖蓬松的鹅绒。其他特性包括无缝压胶绗缝结构带来无车线设计和出色弹力、可调节兜帽、内部媒体端口和网眼收纳袋以及下摆抽绳。可机洗并烘干。进口。
12,CozyCloud 法兰绒床单套装,"我们的 Ultrasoft 法兰绒床品系列纯色柔软法兰绒床单套装，是追求全年舒适人士的理想选择。5盎司的重量和拉绒棉法兰绒结构，使其在多次洗涤后依然保持鲜艳色彩。它已通过 OEKO-TEX® STANDARD 100 认证（137 CITEVE）的有害物质检测，并在葡萄牙独家为我们编织。本套装包括一张平床单、一张床笠和两个枕套；Twin（单人）尺寸包含一个枕套。

规格：
Twin（单人）：
平床单：102英寸 x 72英寸。
床笠：76英寸 x 39英寸 x 15英寸口袋深度。
枕套（1个）：32英寸 x 20英寸。

Full（双人）：
平床单：102英寸 x 86英寸。
床笠：76英寸 x 54英寸 x 15英寸口袋深度。
枕套（2个）：32英寸 x 20英寸。

Queen（大号）：
平床单：104英寸 x 96英寸。
床笠：80英寸 x 60英寸 x 15英寸口袋深度。
枕套（2个）：32英寸 x 20英寸。

King（特大号）：
平床单：110"
13,男士 Maine Explorer 前拉链夹克式衬衫,"这款经典羊毛夹克式衬衫是夹克与衬衫的独特结合，让您一年四季皆可穿着。版型宽松，在寒冷天气非常适合作为叠穿内搭，在温暖时也可作为外套衬衫穿着。

尺码与版型
传统版型：胸部、袖子和腰部宽松。

面料与护理
85%羊毛，15%尼龙。
纯色：每平方码11盎司。
迷彩：每平方码15盎司。
干洗。

附加特性
连体外部羊毛披肩，在毛毛雨和雪中提供额外的保暖和保护。
两个贴边暖手袋和两个可扣合的胸部口袋。
剪裁宽大，适合在寒冷天气叠穿。
优质羊毛，具有卓越的耐用性。
湿水后依然保暖，在树林中走动时安静无声。
袖口和领口饰有超细麂皮绒边，贴肤更舒适。
坚固的黄铜拉链。
口袋纽扣经过加固，确保安全。
袖口双纽扣设计，增加可调节性。
进口。"
14,易打理经典条纹短袖衬衫，传统版型,"终极条纹青年布衬衫——我们保留了您喜爱的一切，并使其更加出色。100%棉质，轻盈透气，经过易打理处理，抗皱效果极佳。

尺码与版型
传统版型：胸部、袖子和腰部宽松。

我们喜爱它的理由
即使是像经典青年布这样备受喜爱的单品，也总有改进的空间。这正是我们所做的——推出我们独家的易打理青年布。它轻盈、透气且抗皱。只需扔进洗衣机，从烘干机拿出来就能直接穿。

面料与护理
100%棉质青年布。轻微熨烫可使其看起来更加挺括。可机洗并烘干。

附加特性
单贴袋。纽扣领。进口。

有疑问？
欢迎随时与我们联系，咨询任何问题。"
15,Wind Chaser 110 皮划艇,"这款轻型休闲皮划艇采用硬折角船体设计，性能卓越；宽敞的座舱便于进出；稳定性极佳，让全家人都能享受划桨的乐趣。

规格：
承重：278磅。
重量：带座椅38磅；不带座椅32磅。
尺寸：11英尺 x 27英寸。

结构：
采用超轻耐用的热成型ABS塑料制成。

附加特性：
船尾隔板提供浮力和干燥储物空间。
10英寸铰链舱口便于进入船尾储物舱。
船头和船尾甲板弹力绳用于存放防水袋和装备。
桨架将桨固定在甲板上。
超舒适框架座椅可轻松卡入甲板下方的安装支架。
座椅可拆卸，用作沙滩椅。
旋转锁定脚踏支撑系统，可在坐姿下轻松调节。
船头和船尾模制提手提供舒适的抓握感，便于搬运。
55英寸超大座舱便于进出，并可容纳一名儿童或宠物。
美国制造。

"
16,迷彩Trekker中厚半拉链套头连帽衫,"这款迷彩半拉链连帽衫是一款极其百搭的中间层，非常适合所有狩猎季节。它由保暖透气的抓绒制成，配有创新的轻质连帽设计，内置面罩。

面料与护理：100%聚酯纤维。可机洗并烘干。

附加特性：寒冷天气的绝佳叠穿单品。防风硬壳抓绒安静且防水、防碎屑和防勾丝。超柔软抓绒内里保暖，可穿在叠穿层外或贴身穿。独特的轻质连帽设计内置面罩，提供额外保暖和完全隐蔽。内置关节设计提供出色的活动范围。半长拉链便于穿脱和通风。胸前单侧垂直储物袋。袖口拇指孔提供额外覆盖；不使用时保持闭合。平缝不会摩擦或勾住内层。进口。"
17,Summit Soft双人沙发,"我们的软包双人沙发专为较小空间设计，可带来多年的享受。规格：尺寸：38""H x 61""W x 36""D。重量：115磅。

我们为何喜爱它：我们与北卡罗来纳州的专业软包工匠密切合作，以实惠的价格为您带来这款坚固的经典风格双人沙发。我们精心设计的Pine Point软包系列采用柔软耐用的面料，呈现持久的传统风格，适合任何空间。

面料与护理：100%聚酯纤维面料。局部清洁。

结构：窑干硬木和人造板。重型钢弹簧提供额外支撑。高密度泡沫和柔软聚酯纤维填充。

附加特性：提供多种颜色选择的全软包设计，具有永恒的魅力。采用柔软厚实的软垫设计，百搭经典风格。美国制造，面料进口。

有问题？请联系我们的客户服务团队获取更多信息。"
18,"Zen Wave SUP桨板，10'8""","这款充气SUP桨板结合了硬板的刚性和充气板的便利性。充气至坚如磐石的20 psi，性能可媲美硬板。规格：尺寸：10'8""L x 35""W x 6""D。

附加特性：
- 适合巡游、健身划桨和轻度河流漂流。
- 充气至坚如磐石的20 psi，性能接近硬板。
- 流线型结构，实现轻量化性能。
- 四个D型环，用于连接装备和必需品。
- 包含三个尾鳍、旅行收纳袋、打气筒和修理包。
- 放气后可紧凑折叠，便于运输和存放。
- EVA甲板垫提供纹理表面，增加抓地力和舒适度。
- 进口。

如何选择SUP：为您寻找最佳桨板——从在平静水域划桨到挑战大浪。观看视频SUP购买指南"
19,Buckingham皮革沙发,"我们的美国制造Leather Lodge系列提供优质的工艺、极致的舒适度和休闲风格。规格：尺寸：36""H x 78""W x 39""D。重量：159磅11盎司（含包装材料）。结构：耐用的实心窑干硬木框架。高密度泡沫坐垫。实木脚。丰富的全粒面皮革具有打磨的温暖感和柔软的手感。附加特性：时尚、舒适且做工精良。框架具有卓越的细木工工艺，并采用弹簧结构以确保弹性。巧克力棕色具有柔软、磨合的感觉和美丽的自然光泽。栗棕色略带做旧效果，呈现华丽的复古外观。美国制造，采用进口材料。有问题？"
20,女士CamelBak Horizon水袋包,"当您准备记录一些里程时，这款女士Aurora CamelBak水袋包专为贴合您的身形而设计，让您从头到尾保持舒适的水分补充。规格：背包容量：305立方英寸，5升；重量：14盎司；尺寸：15 1/8""H x 10¼""W x 8 7/8""D；水袋容量：85盎司。我们为何喜爱它：专为女性设计，采用弧形肩带和紧凑形状，在您需要时和需要的地方提供所需的水和装备。结构：采用200旦尼尔平纹聚酯纤维制成；透气网眼背板和肩带轻盈凉爽；抗菌内衬防止异味和异味；全新Crux水袋流速快20%。附加特性：纤薄设计不会妨碍头盔或球衣口袋的取用；弧形肩带和紧凑形状自然贴合女性躯干；两个拉链袋可存放钥匙、备用内胎和其他必需品；反光滚边提高可见度；背部有挂环可安装闪烁灯；进口。"
21,Militia圆领套头衫,我们的男士突击队员毛衣舒适、保暖且风格无可挑剔。尺寸与版型：微修身：胸部和袖子宽松，腰部微收。我们的微修身毛衣以前称为修身版型，胸部和袖子宽松，腰部微收。我们为何喜爱它：这款毛衣的灵感源自浸透着传统与历史的标志性突击队员毛衣，二战期间英国特种空勤团（S.A.S.）曾穿着它。面料与护理：100%美利奴羔羊毛，21盎司。肩部和肘部补丁：100%棉。手洗并平铺晾干，或干洗。附加特性：保暖羊毛毛衣，如同二战期间英国突击队所穿。出色的弹性和保形性。圆领和翻折袖口。肘部和肩部补丁确保耐穿。深受顾客喜爱的热门款。整洁、修身的外观。无束缚版型，适合户外舒适穿着。进口。
22,Comfyside运动裤，直筒,"我们的超柔软运动裤采用直筒款式——由极其舒适的法式毛圈布制成。

尺寸与版型
内长：女士 30½""，娇小女士 28½""，中高女士 32½""，大码女士 30½""。
经典版型：位于腰部。
臀部和腿部微修身。
直筒。

面料与护理
95%棉和5%氨纶。
可机洗并烘干。

附加特性
法式毛圈布贴身穿感觉非常柔软舒适。
采用塑形设计，打造更修身、更具女性魅力的版型。
松紧腰带配抽绳，前口袋。
进口。

有问题？请联系客户服务获取更多信息。"
23,Campers'探险包，拉链顶口带肩带,"非常适合水禽狩猎、训犬或射击，这款防水拉链顶口托特包能够承受野外的粗暴使用，同时保护您的物品免受损坏并保持干燥。它已升级配备便捷的肩带。

规格
中号
容量：约936立方英寸，15升。
重量：1磅1盎司。
尺寸：12""H x 13""W x 6""D。

大号
容量：约1,785立方英寸，29升。
重量：1磅9盎司。
尺寸：15""H x 17""W x 7""D。

特大号
容量：约3,230立方英寸，53升。
重量：2磅3盎司。
尺寸：17""H x 19""W x 10""D。

结构
热塑性内涂层，既耐用又防水，保持您的装备干燥。
采用坚韧的1,200旦尼尔聚酯纤维外壳制成。
重叠接缝采用尼龙双线缝合，不会腐烂或断裂。
可调节手提肩带，由坚韧的尼龙织带制成"
24,少儿全地形探险鞋,我们色彩缤纷的儿童防水徒步鞋采用独家 Tek2.5 技术，带来如运动鞋般的舒适感，让您在步道上和日常生活中都能享受乐趣。我们喜爱它的理由：我们的徒步靴拥有明亮的设计，小徒步者们一定会喜欢穿——而且这种有趣的外观可以轻松从步道穿到学校。这些靴子出色的合脚度和坚固的结构年复一年地赢得了客户的高度评价。结构：透气网眼尼龙和防水麂皮鞋面。Nylex 内衬。附加功能：带缓冲的 EVA 中底和可拆卸 EVA 鞋垫提供开箱即穿的显著舒适感。鞋跟和鞋头防撞设计增加耐用性。系带款式，可自定义贴合度。TEK2.5 防水技术确保双脚在各种条件下保持干爽。Trail Trac 橡胶外底采用多功能防滑齿纹，在各种表面提供抓地力。进口。
25,女士 PrimaLoft Downpour 夹克,我们的 PrimaLoft 连帽保暖夹克经过重新设计，让您在任何天气下都能保持温暖与轻盈。它防风防水，并提供两级舒适度：轻度活动至 35°，中度活动至 -15°。更新后的结构采用 PrimaLoft 的 Cross Core 技术，这是 PrimaLoft Gold 保暖材料与气凝胶的融合。这种组合在不增加任何重量的情况下提供了 15% 的额外保暖效果。聚酯纤维外壳和内衬 100% 回收，可机洗。这款夹克配有易穿脱的弹性兜帽、带音频端口的内部媒体口袋、两个插手口袋、一个胸部口袋、抽绳下摆，以及一个便于收纳的便携口袋。探索 Cross Core 并观看视频了解更多信息。
26,MaxGrip 运动袜，双件装,我们的女士吸湿排汗袜采用速干透气面料和贴心缓冲设计，让您在任何活动中都能保持双脚凉爽干燥。面料与护理：43% 尼龙，40% CoolMax 聚酯纤维，15% NanoGlide 尼龙，2% 氨纶。机洗和烘干以获得最佳护理效果。附加功能：CoolMax 纱线提供先进的湿气控制，NanoGlide 技术减少摩擦并防止起水泡，网眼环绕足部提供 360 度透气性，脚跟和脚趾处带有缓冲。面料进口自美国。
27,狗狗窝垫,"我们的狗窝垫配有防水聚酯纤维套和 2"" 泡沫，可隔绝冰冷的狗窝地板，让您的爱犬在旅途中也能保持舒适。规格：中号：尺寸：17"" x 26""。大号：尺寸：18"" x 30""。特大号：尺寸：22"" x 33""。结构：聚酯纤维套和泡沫。进口。如有任何问题，请联系我们。"
28,Performance Plus 梭织衬衫,"这款透气夏季衬衫非常适合徒步或旅行，拥有棉质的外观和触感——但充满了高性能。尺寸与版型 微修身：柔和地勾勒身形。下摆及臀。

我们喜爱它的理由 专为荒野或城市街道的全面多功能性而设计。我们采用特殊的速干面料制作了这款梭织上衣——这是您能找到的干得最快的面料之一，因此您可以穿着这款外观出色、性能更佳的上衣去徒步或逛街。

面料与护理 100% 尼龙。UPF 40+ 评级，阻挡太阳紫外线。可机洗和烘干。

附加功能 不到十四分钟即可干燥。吸湿排汗。耐磨，具有卓越的耐用性。进口。

持久防晒 我们的高性能面料提供 SPF 50+ 防晒保护，阻挡 98% 的有害阳光。"
29,经典书包,"我们的原版书包在过去近 30 年里一直深受小学生家长的喜爱。其经典款式和耐用性享有盛誉，现在又增加了便捷的水瓶口袋。

规格：
容量：1,404 立方英寸，23 升
重量：1 磅
尺寸：16""H x 13""W x 7¼""

我们喜爱它的理由：
这款背包近三十年来一直是必备单品，其持久的品质毋庸置疑。更新的水瓶口袋使其更能满足孩子的日常需求。

结构：
采用防风雨 100% 尼龙制成
带软垫的背板，提供全天候舒适感
带软垫的加固肩带
坚固的拉链，可使用多年
正面和肩带配有 3M™ Scotchlite™ 反光材料，提高可见度

附加功能：
大主隔层可容纳午餐盒、书籍、练习册、手工作品等
前袋配有钥匙夹、收纳板和放置午餐钱或小宝贝的地方
可轻松折叠，便于收纳在更大的背包或行李袋中"
30,儿童山地探险抓绒衣，印花款,"

我们采用抗起球面料设计了这款温暖多功能的抓绒衣，确保在多次穿着和洗涤后依然美观。尺寸与版型：宽松版型。面料与护理：100% 聚酯纤维。可机洗和烘干。附加功能：优质抓绒面料抗起球，持久保持美观。单穿或作为凉爽天气的额外保暖层都很棒。立领、护颚设计和拉链口袋。背面三角形 3M™ Scotchlite™ 反光材料，提高可见度。传承灵感的 Mount Katahdin 标志。进口。"
31,乡村风回收木边桌,"这款带抽屉的乡村风木制边桌是任何生活区的独特且节省空间的补充。它由白松木手工打造，配有耐用的低光泽面漆，并经过打磨、染色和涂饰，打造出独一无二的作品。桌子尺寸为 24""H x 15""W x 24""D，重 26 磅。美国制造。有问题？联系我们获取帮助。"
32,经典皮革游骑兵莫卡辛鞋,"自1936年以来，我们一直致力于制作最高品质的正宗手工缝制莫卡辛鞋——这些传统莫卡辛鞋的工艺和舒适度同样毫不逊色。

我们喜爱它的理由：我们的优质游骑兵莫卡辛鞋传承了数十年的顶级工艺传统。如此坚固、耐用且经典，您将在未来数年（甚至数十年）中一直穿着它们。

结构：
-配有生皮和塔斯兰尼龙鞋带。
-全粒面皮革鞋面。
-后跟处配有皮革提环。
-光滑皮革内衬，无论穿袜与否均感舒适。
-模压橡胶外底。
-进口，组件产自美国及进口。"
33,"ed

兰利营地高性能格纹法兰绒衬衫",这款法兰绒夹克专为热爱冒险的人士打造。坚固耐用且充满性能特色，无论您的旅程通往何方，都能确保您温暖舒适。采用微修身剪裁，柔和勾勒身形，下摆落于低臀位置，这款超坚固高性能法兰绒衬衫完美融合了柔软与厚实。采用70%棉和30%聚酯纤维混纺面料制成，高性能中空聚酯纤维纱线旨在吸湿排汗并快速干燥。耐磨结构确保其经得起日常磨损。其他特色包括加固肘部和侧缝口袋。可机洗和烘干，易于打理。进口。
34,男士迷彩穿越橡胶狩猎靴,"保暖、防水、防臭、耐用、超舒适且抓地力出色，这些保暖橡胶狩猎靴在市场上所有橡胶靴中脱颖而出。它们也比大多数橡胶靴更轻便。轻度活动：适用至20° 中度活动：适用至-30° 舒适度评级。

规格：高度：16英寸。约重：每双4磅8盎司。

结构：轻质坚固的硫化橡胶外壳防穿刺且不妨碍活动。2毫米氯丁橡胶搭配200克PrimaLoft保暖棉，提供卓越保暖效果。鞋垫下采用气垫泡沫，进一步隔绝冷空气和地面寒气。透气网格抓绒内衬有助于保持双脚干爽。防臭处理防止脚臭惊扰猎物。缓震鞋垫适合全天行走。靴筒顶部采用氯丁橡胶，允许充分活动。尼龙支撑片提供出色支撑。Mossy Oak乡村迷彩助您隐蔽。粗犷胎纹提供强大抓地力且不易粘泥。进口。"
35,极地俯冲滑雪圈,"这款滑雪圈专为商业滑雪圈公园设计，可承受多年的高强度使用。它采用半刚性聚乙烯底座，即使在低至-40°F的低温下也能极其顺滑地滑行。外罩和内胆分别由1000旦尼尔Cordura尼龙顶部和重型丁基橡胶制成。尼龙织带提手和内置拖拽带使其易于携带。

常规款：
尺寸：外径34英寸 x 高10英寸。
重量：10磅。

加大款：
尺寸：外径40英寸 x 高12英寸。
重量：17磅。

适用人群：5岁及以上儿童或成人/双人滑雪。

视频：充气说明

其他特色：
坚固底座可在压实雪或粉雪上滑行。
坚固外壳有助于保护内胆免受穿刺和磨损。
对于单人滑雪，我们建议较小的儿童选择常规尺寸。
坚固提手和内置拖拽带使其易于携带并拉回坡顶。
进口。

可打印说明（"
36,Garmin MiniTrack 卫星通信器,"Garmin inReach Mini是一款掌心大小的卫星通信器，可让您发送和接收短信、追踪并分享您的旅程，并在必要时触发SOS警报以联系GEOS全天候紧急救援团队。其尺寸为高3.90英寸 x 宽2.04英寸 x 厚1.03英寸，重3.5盎司。显示屏尺寸为0.9英寸 x 0.9英寸，分辨率为128 x 128像素。它由可充电锂离子电池供电，防水等级为IPX7，可承受水深1米长达30分钟的浸泡。在10分钟追踪模式下，电池续航长达90小时；在10分钟追踪且1秒记录模式下，续航长达35小时；在30分钟追踪省电模式下，续航长达24天；关机状态下续航长达1年。

我们喜爱它的理由：
使用Garmin inReach Mini卫星通信器，随时与家人和朋友保持联系。它100%防水，并拥有100%全球铱星卫星覆盖，可在世界任何地方进行双向短信通信（需订阅）。触发SOS警报并"
37,峡湾羊毛衫,灵感源自挪威传统毛衣——用于抵御海上刺骨的严寒——这款毛衣采用优质100%羊毛制成，无论您身在何处都能让您保持温暖。我们喜爱它的理由：尽管仿制品层出不穷，但在其他地方很难找到如此正宗的毛衣，尤其是在这个价位。竞争对手使用羊毛混纺纱线、更现代的机械并采取其他措施，但这些都无法弥补我们传世毛衣所具备的久经考验的工艺。采用传统方式专为我们独家制作，每一件毛衣均由挪威世代传承的家族企业精心编织而成。面料与护理：优质100%羊毛。手洗并平铺晾干，或干洗。结构：重磅羊毛足够保暖，无论是勇敢面对大海还是新英格兰的严冬。其他特色：历史悠久的工艺，采用传承数代的设计与传统。挪威村民传统上会在毛衣上编织独特的图案或麻花纹理以求好运。挪威制造。
38,女士奢华羊剪绒内衬拖鞋,"用这款易穿脱的女士Wicked Good拖鞋呵护您的双足，采用正宗羊剪绒制成，并提供宝石色调。尺码与版型 - 半码请拍大一码。

我们喜爱它的理由 - 在过去5年中售出超过400万双，显然顾客认为我们的Wicked Good拖鞋完全配得上“史上最佳拖鞋”的称号。它们是如此棒的礼物，以至于在12月的销售高峰期，我们每7秒就能卖出一双。为什么它们如此受欢迎？原因有几个，但首当其冲的是您能找到的最舒适的羊剪绒。再加上采用优质羊皮打造的卓越工艺，您就会明白为什么在缅因州，“Wicked Good”就是好到极致的代名词。

面料与护理 - 局部清洁。

结构 - 羊皮绒面革鞋面。正宗羊羔毛羊剪绒内衬吸湿排汗。耐用外底增加抓地力。EVA泡沫鞋垫。进口（毛皮产自澳大利亚）。"
39,密封皮革莫卡辛鞋,"谁说“现在的做工不如从前”，那一定是没拥有过这款靴子。这款易于穿脱、防风雨的橡胶莫卡辛风格靴子，在缅因州手工制作，秉承了我们100多年来坚持的对细节的关注。

尺码与版型
-搭配轻薄或中厚袜子：整码请拍小一码。半码请拍小一码半。
-搭配厚重袜子：整码请按正常尺码购买。半码请拍小半码。

我们喜爱它的理由
作为一名狂热的户外爱好者，Bartholomew Barnstormer希望打造一双舒适、干爽的靴子，以便在缅因州的偏远林地中跋涉。如今，我们的标志性系列橡胶莫卡辛鞋依然在这里的缅因州缝制，一次一双，采用坚固、防风雨的涂蜡帆布制成，且越旧越有味道。

视频：靴子护理一分钟指南

结构
-采用坚固、防风雨的涂蜡帆布精制而成。
-依然在缅因州采用最高品质的材料制作。
"
40,Kork-Ease Myrna舒适凉鞋,Kork-Ease的这款松糕坡跟凉鞋自1953年以来一直精工细作，提供卓越的舒适度和永恒的风格。采用全粒面皮革制成，配有可调节搭扣、缓冲鞋垫和软木坡跟。进口。如有任何问题，请联系我们。
41,男士Trail Model 4全地形防水徒步鞋,运动鞋的舒适感与徒步靴的保护性和支撑性相结合，使这款鞋成为休闲穿着和户外探险的理想选择。重约2磅5盎司，这些鞋子采用我们专属的VertiGrip外底，具有明显的多向防滑齿，提供出色的抓地力。透气的TEK2.5防水层保持双脚干爽，而麂皮与织物鞋面、缓冲EVA中底和可拆卸鞋垫则提供开箱即穿的显著舒适感。鞋头和鞋跟防撞设计增加了耐用性。进口。
42,Big Agnes Big House 4 Deluxe帐篷地布,使用这款地布保护您的帐篷底部免受岩石、碎屑和地钉的磨损。专为Big Agnes Big House 4 Deluxe帐篷设计，这款超轻地布直接连接到帐杆上，便于搭建。它采用聚酯纤维制成，带有1500mm防水聚氨酯涂层，可保护帐篷底部免受磨损或刺穿。重15盎司，进口。
43,New Balance女士990v4越野跑鞋,"作为New Balance美国制造系列的最新产品，这款轻量公路跑鞋结合了专为中高里程跑者设计的缓冲和稳定性。

尺码与版型：我们建议订购大半码或您平时的New Balance尺码。约重：每双1磅7盎司。落差：1/2英寸。

New Balance 990v4就在新英格兰制造，提供提升的性能和每位跑者都会喜欢的酷炫复古外观。这款最新一代990系列跑鞋比以往更加透气，并配有鞋带扣，在您积累里程时让鞋舌舒适地保持在原位。

结构：猪皮与网眼鞋面坚固、透气且轻量。特殊的ENCAP中底技术提供支撑、缓冲和稳定性。耐用的发泡橡胶外底。透气织物内衬。柔软鞋舌和双密度泡棉鞋领。可拆卸泡棉鞋垫。美国制造。"
